,,,,% 1nM TCDD Average,,,,,
Plant,BC-BS,Rep,Sample #,AhR,AR,ER,GR,,
,,,65 0.019,-1.17752152,-2.368129257,-4.992796188,-0.973104838,,
,Biosolids,3,66 0.018,-1.035406854,-0.75241565,-7.924193727,-1.414506271,,
,,,66 0.019,-1.461750853,-4.391731348,-8.245594592,-1.246706337,,
,Biosolid + low rate biochar,1,67 0.018,-1.437388338,-4.934262633,-11.18807492,-1.838386425,,
,,,67 0.019,-0.584700341,-3.87692064,-15.53806938,-1.682042711,,
,Biosolid + low rate biochar,2,68 0.018,-1.579503005,-3.817519404,-15.95921534,-1.029038149,,
,,,68 0.019,0.426343999,-3.500712815,4.638146958,1.153034888,,
,Biosolid + low rate biochar,3,69 0.018,3.159006009,-2.051322668,4.599357198,3.523798613,,
,,,69 0.019,1.230306968,-2.950261365,4.388784218,4.1013269,,
,Biosolid + high rate biochar,1,70 0.018,0.324833523,-4.047204182,-0.88108168,1.541872486,,
,,,70 0.019,-0.471008608,-3.730397592,-4.011969412,0.381424749,,
,Biosolid + high rate biochar,2,71 0.018,1.035406854,-1.805797561,-5.896043445,0.222385455,,
,,,71 0.019,0.170537599,-3.880880722,-6.189737338,0.644917818,,
,Biosolid + high rate biochar,3,72 0.018,2.001786584,-4.514493901,-7.62495844,1.651717422,,
,,,72 0.019,-0.511612798,-4.843180738,-10.07425468,0.50946486,,
,Walnut Shell,1,85,-1.774403118,-6.942024394,-13.7925302,-0.94547513,,
,,,86,-1.859671918,-6.268810391,-15.12246481,-1.946883571,,
,Walnut Shell,2,86 0.001,-1.831248985,-4.41153176,-16.16978832,-1.237945698,,
,,,86 0.006,-0.351094589,-4.747030537,1.855935318,2.483983287,,
,Walnut Shell,3,87 0.001,-0.791683877,-3.57568534,1.200539018,-2.926880223,,
,,,87 0.006,1.149662674,-4.414121902,-0.091877986,-3.270194986,,
,Water blank,1,121,-0.8123365,-4.331922239,0,-4.060584958,,
,Water blank,2,122,-1.197852127,-3.596235255,-0.869778268,-4.584261838,,
,Water blank,3,123,-0.78479967,-5.232008549,-2.254073257,-4.302924791,,
,Biosolid + low rate biochar,1,67G BC  0.001,5.094313644,-5.404627841,41.27771653,-4.076601671,,
,Biosolid + low rate biochar,2,68G BC  0.001,3.297535454,-3.279766553,52.56645841,-3.454038997,,
,Biosolid + low rate biochar,3,69G BC  0.001,4.385240259,-3.78529448,63.92870268,-3.707520891,,
,Biosolid + high rate biochar,1,70G BC  0.006,8.433154344,-3.271546587,40.02205072,2.613509749,,
,,,70G BC  0.001,2.905135619,-2.096091406,10.79872596,1.996518106,,
,Biosolid + high rate biochar,2,71G BC  0.001,7.854880903,-4.599071144,9.708440524,1.204735376,,
,,,71G BC  0.006,19.88847584,-4.516871481,42.30674997,-0.308495822,,
,Biosolid + high rate biochar,3,72G BC  0.001,2.540272615,-6.448563561,3.662869043,-3.002785515,,
,,,72G BC  0.006,17.89893983,-5.421067774,27.87578096,-1.445682451,,
