Plant,BC,BS,Rep,Root_fresh,Shoot_fresh,Height (cm),Number_StemsLeaves4cm,Notes,Root_lyoph,Shoot_lyoph,CIP_R,CIP_S,TCC_R,TCC_S,TCS_R,TCS_S,pH
Lettuce,10,20,1,19.22,57.41,,21,"EBL, 2D",12.63,15.9,0.842664506,0.612994821,3.475897675,0.92055511,0.006824194,0.026187938,7.32
Lettuce,10,20,2,19.05,52.6,,23,"EBOL, 3D",12.53,15.84,0.647121794,0.654819327,3.388420466,0.968132273,0.012706302,0.024759286,7.38
Lettuce,10,20,3,20.64,49.06,,23,"EBOL, 4D",13.05,16.12,0.768319836,0.340322312,3.418836847,0.827168066,0.016997329,0.001372852,7.37
Lettuce,10,20,4,20.48,46.72,,21,"EBOL, 4D",12.87,15.9,NA,NA,NA,NA,NA,NA,NA
Lettuce,10,20,5,19.16,45.71,,18,"EBOL, 4D",12.49,15.43,NA,NA,NA,NA,NA,NA,NA
Lettuce,100,20,1,21.72,51.65,,22,"EBOL, 2D",13.05,15.98,0.728664346,0.207124202,2.02331373,0.827509807,0.011048169,0,7.64
Lettuce,100,20,2,23.44,52.9,,21,"EBOL, 2D",13.13,16.2,0.840232366,0.195864991,2.155737898,0.551013289,0.010733806,0.007944719,7.66
Lettuce,100,20,3,24.72,60.79,,25,"EBOL, 4D",13.19,17.19,0.812967402,0.163705153,2.129295209,0.90557102,0.007833505,0.005831565,7.76
Lettuce,100,20,4,22.63,49.34,,20,"edge burning on older leaves, 2D",13.01,15.94,NA,NA,NA,NA,NA,NA,NA
Lettuce,100,20,5,19,49.36,,20,"EBOL, 2D",12.6,15.8,NA,NA,NA,NA,NA,NA,NA
